title,content,category,tags
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
Grocery List,Buy milk and eggs,Personal,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
Grocery List,Buy milk and eggs,Personal,
Grocery List,Buy milk and eggs,Personal,
Shopping List,Buy milk and eggs,Personal,
Work Tasks,Complete project report,Work,
Shopping List,Buy milk and eggs,Personal,
Work Tasks,Complete project report,Work,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
Grocery List,Buy milk and eggs,Personal,
Grocery List,Buy milk and eggs,Personal,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
Grocery List,Buy milk and eggs,Personal,
Grocery List,Buy milk and eggs,Personal,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
Grocery List,Buy milk and eggs,Personal,
Grocery List,Buy milk and eggs,Personal,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
Grocery List,Buy milk and eggs,Personal,
Grocery List,Buy milk and eggs,Personal,
CLI Title,CLI Content,CLI Category,
CLI Title,CLI Content,General,
Grocery List,Buy milk and eggs,Personal,
Grocery List,Buy milk and eggs,Personal,
Grocery List,Buy milk and eggs,Personal,"shopping, urgent"
Grocery List,Buy milk and eggs,Personal,"shopping, urgent"
Work Tasks,Complete project report,Work,
Grocery List,Buy milk and eggs,Personal,
Work Tasks,Complete project report,Work,
